,Expresión
604,mear fuera de pote
605,dejarse ver la puerta
606,calentar puesto
607,llevarse el punto
608,estar limpio
609,gozar un puyero
610,abrir gola
611,abrir un agujero para tapar otro
612,abrir un hueco para tapar otro
613,abrirse como un paraguas
614,abrirse la tripa
615,abrirse la cañera
616,achinar los dientes
617,aflojar el coroto
618,aflojar la lengua
619,agarrar con las manos en la masa
620,agarrar el coroto
621,agarrar la mandarria
622,agarrarle el gusto a la cosa
623,agarrar la pelona
624,agarrarse de ese palo
625,agarrarse una oreja y no alcanzar la otra
626,tener a dios agarrado por la chiva
627,meter a uno el tiempo en agua
628,aguar la boca
629,aguar el guarapo
630,aguar el ojo
631,aguarsele la boca 
632,aguarsele el guarapo 
633,aguarsele el ojo 
634,alzar el tole
635,alzar la cama
636,alzarse con el coroto
637,alzarse con el santo y la limosna
638,amarrar el bongo
639,amarrar la cara
640,amarrarse los fustanes
641,amarrarse un ramo
642,amarrarse una rama
643,armar un caramillo
644,armar un zoco de zaperoco
645,armarse con el coroto
646,alzarse con el coroto
647,armarse con el santo y la limosna
648,alzarse con el santo y la limosna
649,arrastrar cuero
650,arrastrar la cobija
651,arreglar la capotera
652,arrimar la canoa
653,arrimar el pecho
654,comer avispa que cigarrón atora
655,dar un baño 
656,echarle un baño 
657,darse un baño
658,echarse un baño
659,barrer por donde pasa la novia
660,ser más mañoso que cochino entrando en bongo
661,botar el juego
662,botar el pelero
663,botar la tercera o la segunda
664,bregar la arepa
665,brincar matores
666,brincar el perol
667,brincar la talanquera
668,tener más puntas que un cabestro de cerdas
669,hacer cachapas
670,agarrar el toro por los cachos
671,buscarle la vuelta al cacho
672,dar más vueltas que cacho en un empedrado
673,dar más brincos que cacho en un empedrado
674,enredarse en los cachos
675,enredar en los cachos
676,tener más vuelta que un cacho
677,tener más vueltas que un cacho
678,torcer el cacho
679,caer comején en el tejado
680,tener comején en el tejado
681,caer en verso
682,caerle frutero
683,caerle muchacho 
684,calentar el guarapo
685,calentar la oreja
686,calentar puesto
687,estar más caliente que plancha de chino
688,estar con la pierna de carabina
689,tirar sapos con carabina
690,hacer de un piojo un carángano
691,cargar a cola alta
692,cargar cola
693,cargar el fusil por el pico
694,cargar en la palma de la mano
695,cargar a monte
696,cargar con el muerto
697,llegar hasta donde mono no carga a su hijo
698,cargar un zamuro de prendedor
699,cargar un zamuro por prendedor
700,casar una apuesta
701,casar una pelea
702,coger el cachachá
703,coger el golpe
704,coger el monte
705,coger el patio
706,coger pelota
707,coger ese trompo en la uña
708,colear la parada
709,colear una parada
710,comer avispa
711,comerse un cable
712,comer cabuya
713,comer cuentos
714,comer chivo
715,comerse la flecha
716,comerse una luz
717,comerse la flecha
718,comerse una luz
719,comer pavo
720,comer un queso frito
721,comerse un queso frito
722,comer el queso frito
723,comerse el queso frito
724,comer el rancho
725,comerse el trazo
726,entrar como río en conuco
727,correr con la silla
728,comerse un trazo
729,meterse como río en conuco
730,correr en la silla
731,correr gallos
732,correr un trueno
733,cortar las cabuyeras
734,cortar el cambur
735,echar maíz a las cotizas
736,estar donde chuco no carga a su hijo
737,estar donde mono no carga a su hijo
738,dar bollo
739,dar cabuya
740,dar cancha
741,dar candela
742,dar casquillo
743,dar con la espuela
744,dar cuero
745,dar el golpe
746,dar el palo
747,dar el palo cochinero
748,dar el pitazo
749,dar el salto del tordito
750,dar en bola
751,dar la cola
752,dar mateo
753,dar plaza
754,dar matica de café
755,dar nota
756,dar rejo
757,dar rodeo
758,dar un baño
759,echar un baño
760,darse con una piedra en los dientes
761,darse lija
762,tener un gallo embusacado
763,enmochilar el violín
764,estar más limpio que el rabo de un faro
765,florear el café
766,amarrarse los fustanes
767,mamar de gallo
768,ganar de manos
769,ganar indulgencias con escapulario ajeno
770,ganar gracias con padrenuestros ajenos
771,ganarse la arepa
772,llevar en gorigori
773,aguársele el guarapo 
774,dar el escobazo del guaro
775,guindar los guantes
776,colgar los guantes
777,coger el güire
778,halar bola
779,halar bolas
780,halar mecate
781,jalar bola
782,jalar bolas
783,jalar mecate
784,jalar el mecate
785,jugar gallo guindado
786,jugar garrote
787,jugar quiquirigüiqui
788,jurungar el avispero
789,alborotar el avispero
790,jurungar los corotos
791,pegársele el justán
792,pegársele el los justanes
793,ladrar en la cueva
794,largar el forro
795,largar el pelero
796,latir en la cueva
797,latirle a los mogotes
798,levantar el gallo
799,andar viendo salivadas por locha
800,estar viendo salivadas por locha
801,llevar leña
802,llevarse el punto
803,sacarle el agua al maguey
804,mamar el gallo
805,mandar en jefe
806,mandar grueso
807,zumbarle el mango 
808,cargar en la palma de la mano 
809,ser el trapito de la mantequilla
810,estar en belén con la maraca
811,volverse fruta de maraca
812,regarse como fruta de maraca
813,mascar el agua
814,pasar mecate
815,perder el chivo y el mecate
816,tener más puntas que un mecate de cerdas
817,tirar del mecate
818,batir la melcocha
819,estar a punto de melcocha
820,estar a punto de melcoche
821,meter el ojo
822,meterse en los peroles
823,meterse dentro de sus peroles
824,meter las uñas
825,tirar palo a todo mogote
826,montar cachos
827,montar un cho
